id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,model,r,K,sigma_g,sigma_m,noise,scenario
a67b28a064,3.29,1.23,25000,2.83495e-05,  Preset timeout reached,100,100,100,0.95,2017-12-30 02:49:52,gs,0.75,1,0.02,0,normal,1
a6133e79b0,3.65,3.3,25000,5.33985e-05,  Preset timeout reached,100,100,100,0.95,2017-12-30 09:52:41,gs,0.75,1,0.1,0,normal,2
a69754d9c,3.77,4.33,25000,2.98829e-05,  Preset timeout reached,100,100,100,0.95,2017-12-30 16:55:29,gs,0.75,1,0.15,0,normal,3
a62ceca811,4.16,321.19,25236.7,0.0260493,  Preset timeout reached,100,100,100,0.95,2017-12-31 00:05:38,gs,0.75,1,0.02,0.1,normal,4
a63bda7720,4.91,1047.21,25412.3,0.0260887,  Preset timeout reached,100,100,100,0.95,2017-12-31 07:20:54,gs,0.75,1,0.1,0.1,normal,5
a67d3e8e5d,4.75,1333.33,25073.1,0.0109936,  Preset timeout reached,100,100,100,0.95,2017-12-31 14:30:19,gs,0.75,1,0.15,0.1,normal,6
a61e1a697d,4.28,319.33,25053.1,0.0555738,  Preset timeout reached,100,100,100,0.95,2017-12-31 21:37:18,gs,0.75,1,0.02,0.15,normal,7
a6457afc17,4.71,1057.82,25774.2,0.087276,  Preset timeout reached,100,100,100,0.95,2018-01-01 04:58:04,gs,0.75,1,0.1,0.15,normal,8
a61088a2bf,5.12,1418.26,25647.4,0.0478233,  Preset timeout reached,100,100,100,0.95,2018-01-01 12:17:29,gs,0.75,1,0.15,0.15,normal,9
