id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,model,r,K,sigma_g,sigma_m,noise
167e0d3e5809,12.54,9.6,20000.6,0.00171677,  Preset timeout reached,150,150,150,0.99,2017-10-07 05:33:04,gs,1.0406526824404,1.19645697530646,0.112686983430225,0,normal
167e1d3e5809,13.35,16.24,20000.1,0.00298856,  Preset timeout reached,150,150,150,0.99,2017-10-07 05:49:51,gs,0.90684619105849,1.77633206334106,0.127531579550622,0,normal
167e2d3e5809,15.81,10300.23,20089.4,0.162842,  Preset timeout reached,150,150,150,0.99,2017-10-07 06:20:41,gs,1.0406526824404,1.19645697530646,0.112686983430225,0.1,normal
167e3d3e5809,16.88,16906.14,20049.2,0.176439,  Preset timeout reached,150,150,150,0.99,2017-10-07 06:40:53,gs,0.90684619105849,1.77633206334106,0.127531579550622,0.1,normal
167e05185a251,15.63,10593.05,20656.4,1.59833,  Preset timeout reached,150,150,150,0.99,2017-10-07 12:50:04,gs,1.0406526824404,1.19645697530646,0.112686983430225,0.2,normal
167e15185a251,16.26,17431.17,20175.7,2.42103,  Preset timeout reached,150,150,150,0.99,2017-10-07 13:12:16,gs,0.90684619105849,1.77633206334106,0.127531579550622,0.2,normal
