state,policy,prior
0,POMDP: low prior,0
0.020202020202020204,POMDP: low prior,0.06822959805105179
0.04040404040404041,POMDP: low prior,0.10473215234842286
0.06060606060606061,POMDP: low prior,0.15433440360619546
0.08080808080808081,POMDP: low prior,0.2183337984813596
0.10101010101010102,POMDP: low prior,0.2965204811952565
0.12121212121212122,POMDP: low prior,0.38660184755792115
0.14141414141414144,POMDP: low prior,0.4838922398005555
0.16161616161616163,POMDP: low prior,0.5814453381023664
0.18181818181818182,POMDP: low prior,0.670725212070724
0.20202020202020204,POMDP: low prior,0.7427725976209244
0.22222222222222224,POMDP: low prior,0.78966450747465
0.24242424242424243,POMDP: low prior,0.8059440008109752
0.26262626262626265,POMDP: low prior,0.7896645074746499
0.2828282828282829,POMDP: low prior,0.7427725976209243
0.30303030303030304,POMDP: low prior,0.670725212070724
0.32323232323232326,POMDP: low prior,0.5814453381023664
0.3434343434343435,POMDP: low prior,0.4838922398005553
0.36363636363636365,POMDP: low prior,0.38660184755792115
0.38383838383838387,POMDP: low prior,0.2965204811952562
0.4040404040404041,POMDP: low prior,0.21833379848135936
0.42424242424242425,POMDP: low prior,0.15433440360619546
0.4444444444444445,POMDP: low prior,0.10473215234842277
0.4646464646464647,POMDP: low prior,0.06822959805105179
0.48484848484848486,POMDP: low prior,0.04267181348121765
0.5050505050505051,POMDP: low prior,0.025620340099312723
0.5252525252525253,POMDP: low prior,0.01476740495094461
0.5454545454545455,POMDP: low prior,0.008171447244215093
0.5656565656565657,POMDP: low prior,0.004340795052185887
0.5858585858585859,POMDP: low prior,0.0022136812410344657
0.6060606060606061,POMDP: low prior,0.0010837681693775633
0.6262626262626263,POMDP: low prior,5.093698104094103e-4
0.6464646464646465,POMDP: low prior,2.298293636290896e-4
0.6666666666666667,POMDP: low prior,9.955276596632499e-5
0.686868686868687,POMDP: low prior,4.13977417108556e-5
0.7070707070707072,POMDP: low prior,1.652629395836238e-5
0.7272727272727273,POMDP: low prior,6.333587860428307e-6
0.7474747474747475,POMDP: low prior,2.330234505346375e-6
0.7676767676767677,POMDP: low prior,8.230476162649362e-7
0.787878787878788,POMDP: low prior,2.7907812549093506e-7
0.8080808080808082,POMDP: low prior,9.08452315716265e-8
0.8282828282828284,POMDP: low prior,2.838925387686142e-8
0.8484848484848485,POMDP: low prior,8.516895608356605e-9
0.8686868686868687,POMDP: low prior,2.4529244541862627e-9
0.888888888888889,POMDP: low prior,6.782074012456439e-10
0.9090909090909092,POMDP: low prior,1.8001818560307388e-10
0.9292929292929294,POMDP: low prior,4.5871795409528553e-11
0.9494949494949496,POMDP: low prior,1.1221491901058109e-11
0.9696969696969697,POMDP: low prior,2.6353054811574673e-12
0.98989898989899,POMDP: low prior,5.941373208326121e-13
1.0101010101010102,POMDP: low prior,1.2859325957980212e-13
1.0303030303030305,POMDP: low prior,2.6719300211925515e-14
1.0505050505050506,POMDP: low prior,5.329757599857709e-15
1.0707070707070707,POMDP: low prior,1.020622970965646e-15
1.090909090909091,POMDP: low prior,1.8762846391409318e-16
1.1111111111111112,POMDP: low prior,3.311369243748122e-17
1.1313131313131315,POMDP: low prior,5.610376432749985e-18
1.1515151515151516,POMDP: low prior,9.125399693246188e-19
1.1717171717171717,POMDP: low prior,1.4249095362953902e-19
1.191919191919192,POMDP: low prior,2.135984975793894e-20
1.2121212121212122,POMDP: low prior,3.073863637289213e-21
1.2323232323232325,POMDP: low prior,4.246650348668317e-22
1.2525252525252526,POMDP: low prior,5.632275821912749e-23
1.272727272727273,POMDP: low prior,7.171282453934357e-24
1.292929292929293,POMDP: low prior,8.765672589281658e-25
