id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,model,r,K,sigma_g,sigma_m,noise,scenario
6930be6896,3.28,1.15,15000,2.79364e-05,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:03:06,gs,0.75,1,0.02,0,normal,1
6b30be6896,4.08,4.55,15000,4.59653e-05,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:04:01,gs,0.75,1,0.15,0,normal,3
6a30be6896,3.9,3.3,15000,7.48622e-05,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:04:09,gs,0.75,1,0.1,0,normal,2
6c30be6896,4.51,315.85,15053.6,0.0259422,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:09:18,gs,0.75,1,0.02,0.1,normal,4
6e30be6896,5.26,1400.31,15098.8,0.0144468,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:11:09,gs,0.75,1,0.15,0.1,normal,6
6f30be6896,4.5,316.52,15255.8,0.0514373,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:12:39,gs,0.75,1,0.02,0.15,normal,7
6d30be6896,4.85,1034.39,15480.3,0.0183081,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:17:25,gs,0.75,1,0.1,0.1,normal,5
7030be6896,5.01,1070.32,15509.7,0.0669955,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:17:58,gs,0.75,1,0.1,0.15,normal,8
7130be6896,4.92,1461.44,15625,0.0607836,  Preset timeout reached,100,100,100,0.95,2017-12-29 05:19:53,gs,0.75,1,0.15,0.15,normal,9
a2b623ae8e2,3.42,1.74,60000,0.000501701,  Preset timeout reached,100,100,100,0.99,2017-12-29 22:30:05,gs,0.75,1,0.02,0,normal,1
a2d623ae8e2,3.8,5.23,60000,0.000546287,  Preset timeout reached,100,100,100,0.99,2017-12-29 22:30:38,gs,0.75,1,0.15,0,normal,3
a2c623ae8e2,3.52,3.83,60000.1,0.000507004,  Preset timeout reached,100,100,100,0.99,2017-12-29 22:30:44,gs,0.75,1,0.1,0,normal,2
a2b198f46f9,4.29,1489.57,60246.9,0.122493,  Preset timeout reached,100,100,100,0.99,2017-12-30 15:25:52,gs,0.75,1,0.02,0.1,normal,4
a2d198f46f9,5.71,6802.79,60228.2,0.15328,  Preset timeout reached,100,100,100,0.99,2017-12-30 15:27:23,gs,0.75,1,0.15,0.1,normal,6
a2c198f46f9,4.65,5025.63,60795.9,0.153428,  Preset timeout reached,100,100,100,0.99,2017-12-30 15:37:09,gs,0.75,1,0.1,0.1,normal,5
a2d536d0ee,4.82,6968.42,60349.4,0.859887,  Preset timeout reached,100,100,100,0.99,2017-12-31 08:26:13,gs,0.75,1,0.15,0.15,normal,9
a2b536d0ee,4.31,1500.72,60721.3,0.229489,  Preset timeout reached,100,100,100,0.99,2017-12-31 08:29:29,gs,0.75,1,0.02,0.15,normal,7
a2c536d0ee,4.78,5120.46,60460.5,0.643497,  Preset timeout reached,100,100,100,0.99,2017-12-31 08:37:30,gs,0.75,1,0.1,0.15,normal,8
