scenario,time,state,obs,action,value,rep,method
1,9,34,34,11,0.12732311307567862,2,POMDP
1,10,33,33,10,0.10886126167970521,2,POMDP
1,11,33,33,10,0.10341819859571995,2,POMDP
1,12,33,33,10,0.09824728866593394,2,POMDP
1,13,32,32,9,0.08296437709567756,2,POMDP
1,14,33,33,10,0.08866817802100538,2,POMDP
1,15,33,33,10,0.0842347691199551,2,POMDP
1,16,33,33,10,0.08002303066395734,2,POMDP
1,17,32,32,9,0.0675750036717862,2,POMDP
1,18,34,34,11,0.08024531686024611,2,POMDP
1,19,32,32,9,0.060986440813787034,2,POMDP
1,20,33,33,10,0.06517925861973489,2,POMDP
1,21,34,34,11,0.06880032854305351,2,POMDP
1,22,32,32,9,0.052288249692720654,2,POMDP
1,23,33,33,10,0.0558830668590952,2,POMDP
1,24,32,32,9,0.04719014534768039,2,POMDP
1,25,33,33,10,0.05043446784033341,2,POMDP
1,26,31,31,8,0.037265467904246355,2,POMDP
1,27,33,33,10,0.045517107225900896,2,POMDP
1,28,31,31,8,0.03363208478358233,2,POMDP
1,29,32,32,9,0.036514834907889385,2,POMDP
1,30,34,34,11,0.043361366453118645,2,POMDP
1,31,33,33,10,0.03707396831741643,2,POMDP
1,32,33,33,10,0.035220269901545614,2,POMDP
1,33,34,34,11,0.037176951562742595,2,POMDP
1,34,32,32,9,0.02825448318768437,2,POMDP
1,35,35,35,12,0.03690741866391271,2,POMDP
1,36,33,33,10,0.02868712996149578,2,POMDP
1,37,33,33,10,0.027252773463420994,2,POMDP
1,38,33,33,10,0.02589013479024994,2,POMDP
1,39,33,33,10,0.02459562805073744,2,POMDP
1,40,34,34,11,0.025962051831333967,2,POMDP
1,41,35,35,12,0.027130344163743995,2,POMDP
1,42,35,35,12,0.025773826955556793,2,POMDP
1,43,32,32,9,0.017807371351111965,2,POMDP
1,44,34,34,11,0.02114625347944546,2,POMDP
1,45,34,34,11,0.020088940805473184,2,POMDP
1,46,34,34,11,0.019084493765199523,2,POMDP
1,47,32,32,9,0.014504215261551639,2,POMDP
1,48,34,34,11,0.017223755623092567,2,POMDP
1,49,35,35,12,0.017998824626131733,2,POMDP
1,50,32,32,9,0.012435551559872833,2,POMDP
1,51,33,33,10,0.013290495729614089,2,POMDP
1,52,32,32,9,0.01122308528278523,2,POMDP
1,53,34,34,11,0.013327413773307463,2,POMDP
1,54,33,33,10,0.011394938776177877,2,POMDP
1,55,31,31,8,0.00841959365128699,2,POMDP
1,56,35,35,12,0.012569250522278431,2,POMDP
1,57,33,33,10,0.009769735633225507,2,POMDP
1,58,33,33,10,0.009281248851564231,2,POMDP
1,59,34,34,11,0.009796873787762244,2,POMDP
1,60,33,33,10,0.008376327088536717,2,POMDP
1,61,33,33,10,0.007957510734109881,2,POMDP
1,62,33,33,10,0.007559635197404387,2,POMDP
1,63,34,34,11,0.00797961493059352,2,POMDP
1,64,33,33,10,0.0068225707656574585,2,POMDP
