year,stock,commonname,model
1995,0,European Plaice,0.2
1996,0,European Plaice,0.2
1997,0,European Plaice,0.2
1998,0,European Plaice,0.2
1999,0,European Plaice,0.2
2e3,0,European Plaice,0.2
2001,0,European Plaice,0.2
2002,0,European Plaice,0.2
2003,0,European Plaice,0.2
2004,0,European Plaice,0.2
2005,0,European Plaice,0.2
2006,37104,European Plaice,0.2
2007,37104,European Plaice,0.2
2008,136048,European Plaice,0.2
2009,185520,European Plaice,0.2
2010,247360,European Plaice,0.2
1986,477821.4765100671,Argentine hake,biomass
1987,374508.72483221476,Argentine hake,biomass
1988,206625.50335570468,Argentine hake,biomass
1989,232453.69127516777,Argentine hake,biomass
1990,258281.87919463086,Argentine hake,biomass
1991,284110.067114094,Argentine hake,biomass
1992,219539.59731543626,Argentine hake,biomass
1993,154969.1275167785,Argentine hake,biomass
1994,167883.22147651005,Argentine hake,biomass
1995,206625.50335570468,Argentine hake,biomass
1996,193711.40939597314,Argentine hake,biomass
1999,77484.56375838925,Argentine hake,biomass
2e3,77484.56375838925,Argentine hake,biomass
2006,64570.469798657716,Argentine hake,biomass
2007,64570.469798657716,Argentine hake,biomass
1957,272096,European Plaice,biomass
1958,284464,European Plaice,biomass
1959,296832,European Plaice,biomass
1960,309200,European Plaice,biomass
1961,321568,European Plaice,biomass
1962,371040,European Plaice,biomass
1963,371040,European Plaice,biomass
1964,358672,European Plaice,biomass
1965,346304,European Plaice,biomass
1966,358672,European Plaice,biomass
1967,408144,European Plaice,biomass
1968,395776,European Plaice,biomass
1969,371040,European Plaice,biomass
1970,333936,European Plaice,biomass
1971,309200,European Plaice,biomass
1972,321568,European Plaice,biomass
1973,272096,European Plaice,biomass
1974,284464,European Plaice,biomass
1975,296832,European Plaice,biomass
1976,309200,European Plaice,biomass
1977,309200,European Plaice,biomass
1978,296832,European Plaice,biomass
1979,296832,European Plaice,biomass
1980,272096,European Plaice,biomass
1981,259727.99999999997,European Plaice,biomass
1982,259727.99999999997,European Plaice,biomass
1983,309200,European Plaice,biomass
1984,321568,European Plaice,biomass
1985,346304,European Plaice,biomass
1986,371040,European Plaice,biomass
1987,445248,European Plaice,biomass
1988,395776,European Plaice,biomass
1989,420512,European Plaice,biomass
